MSWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
10,5745.740656,25.83110246,114707.0499,78.3212869,7890867.754,5660.56,3.435978683,-6586.426901,249.9419628,11.59128527,47.35594058,8011885.439,43854189.57,8.19632914,0.007390245,-0.944853761,0.489953373,14.62839803,-3.689713439,-2.622958734,-5.056418348,-4.729474568,-4.005683149
11,4352.655467,22.28047701,114206.0276,77.81226004,5780502.712,4348.46,2.329952686,-6775.929808,239.0194158,10.81871987,34.15755055,5272420.91,32153473.87,7.942241793,0.006265381,-0.962263655,0.477299048,14.54110529,-3.694254143,-2.650866252,-5.20716424,-4.971718176,-4.173343382
12,3401.522528,18.25054505,111985.242,77.33429469,4449410.631,3474.92,1.680458037,-7043.417989,222.3343241,10.24350609,27.84759743,3326564.433,25097892.61,7.75072843,0.005767078,-0.974946872,0.470748118,14.39390686,-3.70067312,-2.669965744,-5.412342346,-5.258702031,-4.36723995
13,2534.693289,15.20764261,111750.4978,76.20334772,3577035.555,2689.14,1.271975286,-7149.47732,207.8129873,9.579675839,22.17925214,1975900.753,18151721.83,7.547417944,0.00511999,-1.001081255,0.457301898,13.97659801,-3.702467687,-2.698676382,-5.750343287,-5.43806041,-4.510781665
14,1904.255679,12.42019671,111478.2103,75.88132683,2356270.808,2053.54,1.044073075,-7322.236954,198.9590336,8.908978871,16.49991715,1375973.543,13567679.7,7.53177458,0.004715467,-1.006433967,0.450179992,13.89080372,-3.703423846,-2.721261831,-5.947046932,-5.692769974,-4.872644635
15,1478.668814,10.99989227,107796.1291,75.45886203,1800266.777,1597.5,0.751337411,-7412.129615,190.554872,8.156696938,12.2440444,817550.6241,8362659.805,7.362280934,0.004250421,-1.008200445,0.443571445,13.7822346,-3.705324495,-2.744167132,-6.13661431,-5.973151298,-5.056020717
16,1213.787786,9.730631015,107717.7485,75.15632432,1478124.579,1272.62,0.625392762,-7516.475659,173.788983,7.695175531,9.835332125,484342.1692,5566935.473,7.250883883,0.003837986,-1.010031257,0.434809266,13.7141778,-3.706338733,-2.764408881,-6.436431251,-6.069537748,-5.181514821
17,948.7097666,8.250818985,107383.0456,75.07611011,1036089.477,1001.78,0.534646749,-7595.889155,159.5969934,7.191676044,8.167867304,343923.7421,3575614.604,7.163680571,0.003613394,-1.011057491,0.432706748,13.67418018,-3.710420152,-2.781897129,-6.581946101,-6.244915689,-5.478559709
18,762.7067131,7.260433599,107255.7438,74.84391513,825220.3102,780.5,0.432819892,-7716.595435,150.5520281,6.652560056,6.675600978,242162.6252,2377389.937,6.702941679,0.003504383,-1.012685714,0.428095179,13.65524798,-3.711793339,-2.80156512,-6.781206484,-6.394963069,-5.693712667
19,583.5839943,6.325743945,107081.7657,74.57732012,657170.2834,643.34,0.393319618,-7781.436901,142.1976649,6.187850951,5.809337288,183947.8701,1456431.425,6.595823246,0.003189882,-1.01343308,0.423444077,13.6253666,-3.712524846,-2.822428042,-6.95977291,-6.512725791,-5.866519814
20,484.7512942,5.390968155,105695.4722,74.4623528,357180.6527,529.5,0.358423785,-7868.360697,132.9226531,5.801212217,4.847443603,141140.8004,859783.5183,6.468278857,0.00305541,-1.013452977,0.418396974,13.6070408,-3.713061655,-2.832471351,-7.20296594,-6.630086651,-5.973975645
21,390.9449326,4.702178323,105621.8173,74.21104102,222068.9921,412,0.329261454,-7947.683683,125.919697,5.521118081,4.128566236,114561.9751,625492.9197,6.466085141,0.002911001,-1.013974568,0.416227896,13.57659568,-3.714046189,-2.848929398,-7.350282247,-6.734780638,-6.107758807
22,323.2544977,4.061098726,104777.0796,74.06256067,165919.6909,343.62,0.303926308,-7990.937816,119.2571239,5.180350525,3.417800958,59048.64613,377466.9152,6.364868305,0.002701078,-1.016291942,0.414829504,13.56441234,-3.716336926,-2.873865136,-7.483270227,-6.959408015,-6.262175054
